gene_symbol,Rgs20
parameter_id,MGP_PBI_015_001
mouse_life_stage,Early adult
mouse_strain,C50BL
gene_accession_id,MGI:1929866
pvalue,0.08495497
analysis_id,22vcj95509rrt45
parameter_name,IgD+ mature B cell percentage
