mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Trpa1
parameter_id,IMPC_CBC_008_001
parameter_name,Total bilirubin
pvalue,0.4228209
gene_accession_id,MGI:3522699
analysis_id,8x57a6elq99h7u9
