gene_symbol,Rab17
parameter_name,Periphery resting time
gene_accession_id,MGI:104640
mouse_strain,C57BL
analysis_id,3490967651yw3jy
pvalue,0.7606997
parameter_id,IMPC_OFD_011_001
mouse_life_stage,Early adult
