analysis_id,t6uy3947148rw76
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_name,Effector NK cells - % of CD45+
parameter_id,MGP_IMM_099_001
mouse_strain,C57BL
mouse_life_stage,Late adult
pvalue,0.9752339
