analysis_id,02vht27bc1670d4
pvalue,0.7648025
mouse_life_stage,E12.5
gene_accession_id,MGI:87968
gene_symbol,Ahcy
mouse_strain,C57BL
parameter_name,Bone Mineral Density (excluding skull)
parameter_id,M-G-P_005_001_004
