gene_symbol,Nipal3
mouse_life_stage,Early adult
pvalue,0.726352
gene_accession_id,MGI:1921802
parameter_id,GMC_906_001_005
analysis_id,tkf6p7go58k70j4
parameter_name,Potassium
mouse_strain,129SV
