analysis_id,c31uj583vzab2n0
gene_symbol,Ncaph
parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1689032
gene_accession_id,MGI:2444777
