parameter_name,Center permanence time
pvalue,0.7230124
gene_accession_id,MGI:105073
gene_symbol,Tnni1
mouse_strain,C57BL
parameter_id,IMPC_OFD_016_001
mouse_life_stage,Early adult
analysis_id,2h45x8kb10xjb7r
