parameter_id,JAX_PLC_002_001
mouse_strain,C57BL
pvalue,0.4958519
gene_accession_id,MGI:1924315
mouse_life_stage,E9.5
parameter_name,HDL cholesterol
gene_symbol,Ints7
analysis_id,4n97kf80nd53038
