gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
analysis_id,7tjx8d3tz98aae5
parameter_name,lens opacity
mouse_strain,C57BL
mouse_life_stage,Late adult
parameter_id,M-G-P_014_001_010
pvalue,0.3430059
