analysis_id,5svae7t68385a01
pvalue,0.4806288
parameter_id,IMPC_IMM_046_001
gene_symbol,Arpc5l
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,DN CD44+CD62L- NKT cells
gene_accession_id,MGI:1921442
