parameter_name,Glucose
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.6737396
analysis_id,vk8851980d34l6a
parameter_id,HMGULA_CBC_018_001
gene_symbol,Dmap1
gene_accession_id,MGI:1913483
