analysis_id,s78710bwn0br285
gene_symbol,Rhbg
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
pvalue,0.334274
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1927379
