analysis_id,90t384917e4koa9
mouse_strain,C57BL
parameter_id,IMPC_IMM_063_001
pvalue,0.7587781
gene_symbol,Ints7
mouse_life_stage,Early adult
gene_accession_id,MGI:1924315
parameter_name,B Cells
