analysis_id,6pzc7fir3f17xp5
pvalue,0.9503535
parameter_id,JAXLA_GRS_011_001
mouse_life_stage,Early adult
gene_symbol,Cldn19
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:3033992
mouse_strain,C57BL
