analysis_id,sk2369rycxuc3d1
parameter_id,MGP_IMM_078_001
mouse_life_stage,Early adult
parameter_name,Resting Treg cells - % of CD45+
mouse_strain,C3H
gene_symbol,Mecom
gene_accession_id,MGI:95457
pvalue,0.1771705
