parameter_name,Neutrophil percentage
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
mouse_strain,C57BL
analysis_id,n24fn236c385w7a
parameter_id,MGP_PBI_019_001
mouse_life_stage,Early adult
pvalue,0.5179803
