analysis_id,m3yq03o6h0p6q3b
pvalue,0.5967246
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
gene_symbol,Tnni1
parameter_name,18kHz-evoked ABR Threshold
gene_accession_id,MGI:105073
