gene_symbol,Tatdn3
analysis_id,0g7248vcsr7p24x
parameter_name,Right kidney weight
gene_accession_id,MGI:1916222
mouse_strain,C57BL
pvalue,0.44282
parameter_id,IMPC_OWT_004_001
mouse_life_stage,Early adult
