parameter_name,Cholesterol ratio
mouse_strain,C57BL
pvalue,0.4240836
parameter_id,IMPC_CBC_058_001
gene_symbol,Cmpk1
analysis_id,94fsx5w4946kvu7
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
