gene_symbol,Prkcq
analysis_id,g3vi5ub2erk0q11
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
parameter_name,Lower teeth appearance
pvalue,0.315994
gene_accession_id,MGI:97601
mouse_life_stage,Early adult
