parameter_name,Red blood cell count
mouse_strain,C54BL
gene_symbol,Inpp1
gene_accession_id,MGI:104848
analysis_id,526r7hwe147k259
pvalue,0.2089471
parameter_id,ESLIM_016_001_002
mouse_life_stage,Early adult
