gene_symbol,Ssr2
parameter_name,Snout size
pvalue,0.4566454
gene_accession_id,MGI:1913506
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_028_001
mouse_strain,C57BL
analysis_id,x48114k308t5t79
