analysis_id,p239yklc7ge459h
pvalue,0.2006414
parameter_id,MGP_IMM_101_001
gene_accession_id,MGI:88461
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
gene_symbol,Col6a3
mouse_strain,C57BL
