analysis_id,qx437n9d2zy66gi
mouse_life_stage,Early adult
pvalue,1.170838
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:1922745
parameter_id,IMPC_IMM_004_002
gene_symbol,Morn5
mouse_strain,C57BL
