gene_symbol,Ahctf1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
pvalue,0.9593016
gene_accession_id,MGI:1915033
parameter_name,Heart weight
analysis_id,3gt5nqd8650yh13
