mouse_strain,129SV
gene_symbol,Inpp1
pvalue,0.3796091
gene_accession_id,MGI:104848
analysis_id,024w38yd0826691
parameter_name,Resting CD4+ T helper cells - % of CD45+
parameter_id,MGP_MLN_067_001
mouse_life_stage,Early adult
