analysis_id,h23q41h7n3ab428
gene_symbol,Eprs1
mouse_life_stage,E9.5
parameter_id,IMPC_EYE_017_001
pvalue,0.8838813
mouse_strain,C57BL
gene_accession_id,MGI:97838
parameter_name,Lens Opacity
