parameter_name,Lean mass
analysis_id,s08q9z5541r8422
mouse_strain,C57BL
gene_symbol,Slc2a8
pvalue,0.4968438
parameter_id,IMPC_DXA_003_001
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
