parameter_name,Dark side time spent
parameter_id,JAX_LDT_004_001
mouse_life_stage,E12.5
pvalue,0.4932291
gene_symbol,Mapkap1
mouse_strain,C57BL
analysis_id,5yj1j840r19n5hb
gene_accession_id,MGI:2444554
