parameter_name,Total protein
gene_symbol,Psmd14
mouse_strain,C57BL
analysis_id,0a2w8v8478azb3r
parameter_id,IMPC_CBC_006_001
mouse_life_stage,Early adult
pvalue,0.8295435
gene_accession_id,MGI:1913284
