analysis_id,6sj57ghe85j6o22
pvalue,0.3899626
parameter_name,Platelet count
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_008_001
mouse_strain,C57BL
gene_accession_id,MGI:2651854
gene_symbol,Atg4c
