analysis_id,5zcid7k9c0y33c1
parameter_id,JAX_OFD_020_001
gene_symbol,Sdcbp2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Distance travelled - total
gene_accession_id,MGI:2385156
pvalue,0.8405838
