gene_symbol,Bcs1l
parameter_name,Alpha beta T cell percentage
analysis_id,d77ipk1229ve742
gene_accession_id,MGI:1914071
mouse_strain,C57BL
parameter_id,MGP_PBI_002_001
mouse_life_stage,E12.5
pvalue,0.2942538
