parameter_name,Alanine aminotransferase
parameter_id,IMPC_CBC_013_001
pvalue,0.07313224
gene_symbol,Cds2
mouse_strain,129SV
mouse_life_stage,Early adult
gene_accession_id,MGI:1332236
analysis_id,y6ys2a7g5b9b22d
