analysis_id,86v10x7r42h75u6
mouse_life_stage,E9.5
pvalue,0.6666161
parameter_id,MGP_CSD_066_001
mouse_strain,C57BL
parameter_name,Snout morphology
gene_symbol,Bcs1l
gene_accession_id,MGI:1914071
