analysis_id,dp81e5lyzhvncis
pvalue,0.8014142
parameter_id,IMPC_CBC_025_001
gene_symbol,Fpgs
gene_accession_id,MGI:95576
mouse_life_stage,Early adult
parameter_name,LDL-cholesterol
mouse_strain,C57BL
