parameter_id,MGP_BMI_019_001
pvalue,0.4082471
gene_symbol,Mecom
parameter_name,T cells - % of CD45+
gene_accession_id,MGI:95457
analysis_id,u056436pn5947e3
mouse_life_stage,E15.5
mouse_strain,C57BL
