parameter_name,Gait
analysis_id,51akzplj5456049
gene_symbol,Bmp7
mouse_life_stage,Early adult
pvalue,0.8480619
mouse_strain,C57BL
parameter_id,IMPC_CSD_033_001
gene_accession_id,MGI:103302
