parameter_id,MGP_MLN_001_001
gene_symbol,Arpc5l
analysis_id,d9s8av0b1281q93
parameter_name,Total T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1921442
pvalue,0.6906437
