analysis_id,jwa915491fome60
mouse_strain,C57BL
mouse_life_stage,Late adult
gene_symbol,Lpgat1
pvalue,0.5521686
parameter_name,Embryo Size
gene_accession_id,MGI:2446186
parameter_id,IMPC_GEL_032_001
