gene_symbol,Atrn
mouse_strain,C57BL
parameter_id,MGP_MLN_033_001
pvalue,0.2724551
gene_accession_id,MGI:1341628
mouse_life_stage,Early adult
parameter_name,Resting NK cells - % of NK cells
analysis_id,mnvyggl637w1548
