analysis_id,y1zyng85x9rh396
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Rab22a
pvalue,1.201204
gene_accession_id,MGI:105072
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
