parameter_name,Retinal Blood Vessels Pattern
mouse_life_stage,Early adult
pvalue,0.3295879
gene_symbol,Cd52
analysis_id,86uf6273u580vbd
gene_accession_id,MGI:1346088
mouse_strain,C57BL
parameter_id,IMPC_EYE_026_001
