gene_symbol,Exd1
parameter_id,JAX_SLW_013_001
mouse_strain,C57BL
gene_accession_id,MGI:3045306
mouse_life_stage,Early adult
pvalue,0.1687888
parameter_name,Breath rate during sleep mean
analysis_id,a93b20e2d6z428i
