parameter_id,M-G-P_016_001_005
mouse_strain,C57BL
gene_symbol,Toporsl
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
pvalue,0.6097118
parameter_name,Mean-cell-volume
analysis_id,0q0h1rk298z6130
