gene_symbol,Psd4
parameter_id,TCPLA_XRY_033_001
gene_accession_id,MGI:2674093
pvalue,0.1918245
mouse_life_stage,Early adult
analysis_id,zjg35c3mm7lhp84
mouse_strain,C57BL
parameter_name,Tibia length
