parameter_name,HDL-cholesterol
gene_symbol,Rab17
mouse_strain,C57BL
pvalue,0.1259506
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
analysis_id,36fquh283d8ktyg
gene_accession_id,MGI:104640
