gene_symbol,Kdm5b
mouse_life_stage,Early adult
parameter_name,Retina (combined)
mouse_strain,C57BL
pvalue,0.6784323
analysis_id,hv3844z3559hty6
gene_accession_id,MGI:1922855
parameter_id,IMPC_EYE_092_002
