parameter_name,Eosinophils
parameter_id,IMPC_IMM_052_001
pvalue,0.3976973
mouse_life_stage,Early adult
gene_symbol,Rgs20
analysis_id,9o7v51fitd88100
mouse_strain,C57BL
gene_accession_id,MGI:1929866
