analysis_id,x5kpok2qce2kb9n
gene_symbol,Fgb
pvalue,0.8686136
gene_accession_id,MGI:99501
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_HEM_029_001
parameter_name,Neutrophil differential count
