parameter_name,Hindlimb nail - number
gene_symbol,Psd4
parameter_id,IMPC_CSD_051_002
mouse_life_stage,Early adult
pvalue,0.2859715
mouse_strain,C57BL
gene_accession_id,MGI:2674093
analysis_id,vs159ddyx31lya1
