mouse_strain,C57BL
gene_symbol,Bmp7
analysis_id,j1gp200d56zd143
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
gene_accession_id,MGI:103302
pvalue,0.3568955
