gene_symbol,Tnfsf8
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,678137s34w831ak
parameter_name,Midbrain
gene_accession_id,MGI:88328
pvalue,0.6008706
parameter_id,IMPC_GEL_029_001
