analysis_id,918w03yw4zkwly2
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
pvalue,0.5165689
parameter_name,Effector CD4+ T helper cells - % of CD45+
parameter_id,MGP_IMM_073_001
