parameter_id,IMPC_ECH_008_001
gene_symbol,Arpc2
mouse_life_stage,Early adult
parameter_name,LVIDd
pvalue,0.5585453
analysis_id,z8k5vr8a1857b59
mouse_strain,C57BL
gene_accession_id,MGI:1923959
