analysis_id,t664l4854bp8k3a
mouse_strain,C57BL
gene_symbol,Nucks1
parameter_name,Lens Opacity
gene_accession_id,MGI:1934811
pvalue,0.5131468
parameter_id,UCDLA_EYE_017_001
mouse_life_stage,Late adult
