gene_symbol,Etfdh
parameter_name,Weight
parameter_id,M-G-P_005_001_001
gene_accession_id,MGI:106100
mouse_strain,C57BL
pvalue,0.1902288
analysis_id,n7dhd59qnqz2276
mouse_life_stage,Early adult
