parameter_name,Total cholesterol
mouse_life_stage,Early adult
pvalue,0.9802185
mouse_strain,C57BL
gene_symbol,Lcn2
parameter_id,HMGULA_CBC_015_001
analysis_id,73nj7rslyq4uw44
gene_accession_id,MGI:96757
