analysis_id,b06q7p23169gc6f
parameter_id,IMPC_IMM_034_001
mouse_life_stage,Early adult
pvalue,0.9507929
mouse_strain,C57BL
parameter_name,CD8 CD44-CD62L+ T cells
gene_accession_id,MGI:1933159
gene_symbol,Rnf114
