parameter_name,cDCs CD11b Type
pvalue,0.9010452
mouse_strain,C57BL
gene_accession_id,MGI:1914672
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_073_001
gene_symbol,Dhdds
analysis_id,33j1r64s08d04g9
