analysis_id,c0249g62sb684u4
gene_symbol,Ahctf1
pvalue,0.9453748
parameter_name,Retinal Blood Vessels
parameter_id,IMPC_EYE_024_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915033
