parameter_id,IMPC_GEO_064_001
gene_accession_id,MGI:1919949
mouse_strain,C57BL
gene_symbol,Lime1
analysis_id,8p5xxqd72847g97
pvalue,0.3734431
parameter_name,Edema
mouse_life_stage,Early adult
