gene_symbol,Steap3
parameter_name,18kHz-evoked ABR Threshold
mouse_life_stage,Early adult
analysis_id,jh6ah798io2y662
gene_accession_id,MGI:1915678
mouse_strain,C57BL
parameter_id,IMPC_ABR_008_001
pvalue,0.5633566
